"P.Intercept","P.Elevation.m","P.Elevation.m2","P.Data.Type.nofi","P.Data.Type.Elevation.m.nofi","P.Data.Type.Elevation.m2.nofi","Species","Fire.Included","Significance"
100,100,100,NA,NA,NA,"ACCI","No","Significant"
NA,NA,NA,NA,NA,NA,"ACCI","No","Marginal"
NA,NA,NA,100,100,100,"ACCI","No","NS"
NA,NA,NA,NA,NA,NA,"ACCI","No","Ignore"
100,NA,NA,NA,NA,NA,"ACGL","No","Significant"
NA,100,NA,NA,NA,1,"ACGL","No","Marginal"
NA,NA,100,100,100,99,"ACGL","No","NS"
NA,NA,NA,NA,NA,NA,"ACGL","No","Ignore"
100,100,100,NA,NA,NA,"AMAL","No","Significant"
NA,NA,NA,NA,NA,NA,"AMAL","No","Marginal"
NA,NA,NA,100,100,100,"AMAL","No","NS"
NA,NA,NA,NA,NA,NA,"AMAL","No","Ignore"
100,100,NA,NA,NA,NA,"ATFI","No","Significant"
NA,NA,NA,NA,NA,NA,"ATFI","No","Marginal"
NA,NA,100,100,100,100,"ATFI","No","NS"
NA,NA,NA,NA,NA,NA,"ATFI","No","Ignore"
54,54,NA,NA,NA,NA,"CAME","No","Significant"
NA,NA,NA,NA,NA,NA,"CAME","No","Marginal"
NA,NA,54,54,54,54,"CAME","No","NS"
20,20,20,20,20,20,"CAME","No","Ignore"
100,100,100,13,4,NA,"CHUM","No","Significant"
NA,NA,NA,46,21,1,"CHUM","No","Marginal"
NA,NA,NA,41,75,99,"CHUM","No","NS"
NA,NA,NA,NA,NA,NA,"CHUM","No","Ignore"
100,100,100,NA,NA,NA,"CLUN","No","Significant"
NA,NA,NA,NA,NA,NA,"CLUN","No","Marginal"
NA,NA,NA,100,100,100,"CLUN","No","NS"
NA,NA,NA,NA,NA,NA,"CLUN","No","Ignore"
100,100,NA,NA,NA,NA,"COCA","No","Significant"
NA,NA,NA,NA,NA,NA,"COCA","No","Marginal"
NA,NA,100,100,100,100,"COCA","No","NS"
NA,NA,NA,NA,NA,NA,"COCA","No","Ignore"
98,NA,98,NA,NA,NA,"GAOV","No","Significant"
NA,NA,NA,NA,NA,NA,"GAOV","No","Marginal"
NA,98,NA,98,98,98,"GAOV","No","NS"
1,1,1,1,1,1,"GAOV","No","Ignore"
100,NA,NA,NA,NA,NA,"GASH","No","Significant"
NA,100,NA,NA,NA,NA,"GASH","No","Marginal"
NA,NA,100,100,100,100,"GASH","No","NS"
NA,NA,NA,NA,NA,NA,"GASH","No","Ignore"
100,100,NA,1,7,1,"GOOB","No","Significant"
NA,NA,NA,3,20,8,"GOOB","No","Marginal"
NA,NA,100,96,73,91,"GOOB","No","NS"
NA,NA,NA,NA,NA,NA,"GOOB","No","Ignore"
